Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
350,Historical,Arandela De Cúpula,False,False,Augustine (United States)
1311,Historical,Volcán Subglacial,False,False,Katla (Iceland)
1587,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1716,Historical,Estratovolcán,False,False,Kelut (Indonesia)
1729,Historical,Estratovolcán,False,False,Bardarbunga (Iceland)
1742,Historical,Estratovolcán,False,False,Cotopaxi (Ecuador)
1772,Historical,Estratovolcán,True,False,Gamalama (Indonesia)
1775,Historical,Estratovolcán,False,False,Lokon-Empung (Indonesia)
1840,Holocene,Estratovolcán,False,False,Ararat (Turkey)
1871,Historical,Estratovolcán,False,False,Mayon (Philippines)
1874,Historical,Estratovolcán,False,False,Taal (Philippines)
1883,Historical,Caldera,True,False,Krakatau (Indonesia)
1885,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1919,Historical,Volcán En Escudo,True,False,Mauna Loa (United States)
